month,beds24_stay_month_revenue_excluding_cancelled,beds24_stay_month_cancelled_revenue,adr,revpar,occupancy,break_even_achievement_rate_sokuho,bank_deposit_month_ota_revenue,accounting_revenue_confirmed,revenue_data_status,cash_operating_breakeven_revenue,cash_operating_breakeven_achievement_rate,accounting_operating_breakeven_revenue,finance_breakeven_revenue,cash_revenue_gap_to_breakeven,labor_total_forecast,labor_model_status,debt_service_status,breakeven_model_status,gop_after_mc,booking_pace_status,month_elapsed_rate,projected_month_end_bep_achievement_rate
2026-07,1057943,265195,11499,1796,0.1562,7.053,0,0,速報,2009657,0.5264,2685213,2009657,951714,715900,推計,予定表未投入,大幅未達,-695941,yellow,0.258065,0.5264
2026-08,1102915,51485,17507,1873,0.107,7.3528,0,0,速報,1909418,0.5776,2584974,1909418,806503,642600,推計,予定表未投入,大幅未達,-589755,unknown,0.0,0.5776
